libraries loaded!
config file loaded!
app.training_policy=results/simpleds-policy.json
app.training_output=results/simpleds-output.txt
app.test_policy=results/simpleds-policy.json
configurations defined!
brain created!
Connected to server!
Initialised agent!
Running in training mode!
[steps avg.reward epsilon avg.actions dialogues time.hrs]
11800 0.5219 0.8829 7.00 11800 0.0367
11900 0.5363 0.8819 7.00 11900 0.0370
12000 0.5195 0.8809 7.00 12000 0.0373
12100 0.5285 0.8799 7.00 12100 0.0376
12200 0.5305 0.8789 7.00 12200 0.0379
12300 0.5237 0.8779 7.00 12300 0.0383
12400 0.5060 0.8769 7.00 12400 0.0386
12500 0.5079 0.8759 7.00 12500 0.0389
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
12600 0.4872 0.8749 7.00 12600 0.0392
12700 0.5147 0.8739 7.00 12700 0.0395
12800 0.5403 0.8729 7.00 12800 0.0398
12900 0.5308 0.8719 7.00 12900 0.0401
13000 0.5409 0.8709 7.00 13000 0.0404
13100 0.5393 0.8699 7.00 13100 0.0407
13200 0.5367 0.8689 7.00 13200 0.0410
13300 0.5197 0.8679 7.00 13300 0.0413
13400 0.5405 0.8669 7.00 13400 0.0417
13500 0.5321 0.8659 7.00 13500 0.0420
13600 0.5362 0.8649 7.00 13600 0.0423
13700 0.5125 0.8639 7.00 13700 0.0426
13800 0.5048 0.8629 7.00 13800 0.0429
13900 0.5064 0.8619 7.00 13900 0.0432
14000 0.5018 0.8609 7.00 14000 0.0435
14100 0.4915 0.8599 7.00 14100 0.0438
14200 0.5043 0.8589 7.00 14200 0.0441
14300 0.5150 0.8579 7.00 14300 0.0444
14400 0.5236 0.8569 7.00 14400 0.0447
14500 0.5263 0.8559 7.00 14500 0.0451
14600 0.5291 0.8549 7.00 14600 0.0454
14700 0.5324 0.8539 7.00 14700 0.0457
14800 0.5350 0.8529 7.00 14800 0.0460
14900 0.5259 0.8519 7.00 14900 0.0463
15000 0.5263 0.8509 7.00 15000 0.0466
Saved output ../../results/simpleds-output.txt
Saved policy ../../results/simpleds-policy.json
