IFMLSpeech.PerformUtterance:robot.confirmation;GameMove:Confirmation
IFMLSpeech.PerformUtterance:robot.backchannel;Feedback:Backchannel
IFMLSpeech.PerformUtterance:robot.backchannel;HelpSeeking:General
IFMLSpeech.PerformUtterance:robot.backchannel;Feedback:Thinking
IFMLSpeech.PerformUtterance:robot.personalvalues;Feedback:Positive
IFMLSpeech.PerformUtterance:robot.personalvalues;Elaboration:RobotPersonalvalues
IFMLSpeech.PerformUtterance:robot.personalvalues;Strategy:PreRobot
IFMLSpeech.PerformUtterance:robot.personalvalues;Strategy:Robot
IFMLSpeech.PerformUtterance:robot.personalvalues;Feedback:Negative
IFMLSpeech.PerformUtterance:robot.personalvalues;Empathy:RobotSharing
IFMLSpeech.PerformUtterance:technical.-;-- 
IFMLSpeech.PerformUtterance:robot.regreat;Regreat:BadMove
IFMLSpeech.PerformUtterance:robot.regreat;Strategy:Attention
IFMLSpeech.PerformUtterance:robot.regreat;Regreat:Malfunction
IFMLSpeech.PerformUtterance:robot.turntaking;Strategy:PlayForRobot
IFMLSpeech.PerformUtterance:robot.turntaking;TurnTaking:Learner
IFMLSpeech.PerformUtterance:robot.turntaking;TurnTaking:Robot
IFMLSpeech.PerformUtterance:robot.turntaking;TurnChanged:Other
IFMLSpeech.PerformUtterance:robot.pumpdiscussion;Pump:General
IFMLSpeech.PerformUtterance:robot.pumpdiscussion;Pump:Learner
IFMLSpeech.PerformUtterance:robot.pumpdiscussion;Pump:AskElaboration
IFMLSpeech.PerformUtterance:status.levelup;GameRules:LevelUp
IFMLSpeech.PerformUtterance:status.levelup;Pump:General
IFMLSpeech.PerformUtterance:tutorial.goodbye2;Greeting:Goodbye
IFMLSpeech.PerformUtterance:tutorial.goodbye1;Greeting:Goodbye
IFMLSpeech.PerformUtterance:tutorial.welcome;Greeting:Welcome
IFMLSpeech.PerformUtterance:tutorial.1;GameStatus:Tutorial
IFMLSpeech.PerformUtterance:tutorial.endgame;EndGame:NoOil
IFMLSpeech.PerformUtterance:tutorial.endgame;GameState:TimeUp
IFMLSpeech.PerformUtterance:tutorial.endgame;EndGame:Successful
